# (t) (U) (pS) 
0.000000 -0.000000 0.000000
0.000047 0.000000 0.000000
0.000095 0.000000 0.000000
0.000142 0.000000 0.000000
0.000189 0.000000 0.000000
0.000236 0.000000 0.000000
0.000284 0.000000 0.000000
0.000331 0.000000 0.000000
0.000378 0.000000 0.000000
0.000426 0.000000 0.000000
0.000473 0.000000 0.000000
0.000520 0.000000 0.000000
0.000568 0.000000 0.000000
0.000615 0.000000 0.000000
0.000662 0.000000 0.000000
0.000709 0.000000 0.000000
0.000757 0.000000 0.000000
0.000804 0.000000 0.000000
0.000851 0.000000 0.000000
0.000899 0.000000 0.000000
0.000946 0.000000 0.000000
0.000993 0.000000 0.000000
0.001040 0.000000 0.000000
0.001088 0.000000 0.000000
0.001135 0.000000 0.000000
0.001182 0.000000 0.000000
0.001230 0.000000 0.000000
0.001277 0.000000 0.000000
0.001324 0.000000 0.000000
0.001371 0.000000 0.000000
0.001419 0.000000 0.000000
0.001466 0.000000 0.000000
0.001513 0.000000 0.000000
0.001561 0.000000 0.000000
0.001608 0.000000 0.000000
0.001655 0.000000 0.000000
0.001703 0.000000 0.000000
0.001750 0.000000 0.000000
0.001797 0.000000 0.000000
0.001844 0.000000 0.000000
0.001892 0.000000 0.000000
0.001939 0.000000 0.000000
0.001986 0.000000 0.000000
0.002034 0.000000 0.000000
0.002081 0.000000 0.000000
0.002128 0.000000 0.000000
0.002175 0.000000 0.000000
0.002223 0.000000 0.000000
0.002270 0.000000 0.000000
0.002317 0.000000 0.000000
0.002365 0.000000 0.000000
0.002412 0.000000 0.000000
0.002459 0.000000 0.000000
0.002506 0.000000 0.000000
0.002554 0.000000 0.000000
0.002601 0.000000 0.000000
0.002648 0.000000 0.000000
0.002696 0.000000 0.000000
0.002743 0.000000 0.000000
0.002790 0.000000 0.000000
0.002838 0.000000 0.000000
0.002885 0.000000 0.000000
0.002932 0.000000 0.000000
0.002979 0.000000 0.000000
0.003027 0.000000 0.000000
0.003074 0.000000 0.000000
0.003121 0.000000 0.000000
0.003169 0.000000 0.000000
0.003216 0.000000 0.000000
0.003263 0.000000 0.000000
0.003310 0.000000 0.000000
0.003358 0.000000 0.000000
0.003405 0.000000 0.000000
0.003452 0.000000 0.000000
0.003500 0.000000 0.000000
0.003547 0.000000 0.000000
0.003594 0.000000 0.000000
0.003642 0.000000 0.000000
0.003689 0.000000 0.000000
0.003736 0.000000 0.000000
0.003783 0.000000 0.000000
0.003831 0.000000 0.000000
0.003878 0.000000 0.000000
0.003925 0.000000 0.000000
0.003973 0.000000 0.000000
0.004020 0.000000 0.000000
0.004067 0.000000 0.000000
0.004114 0.000000 0.000000
0.004162 0.000000 0.000000
0.004209 0.000000 0.000000
0.004256 0.000000 0.000000
0.004304 0.000000 0.000000
0.004351 0.000000 0.000000
0.004398 0.000000 0.000000
0.004445 0.000000 0.000000
0.004493 0.000000 0.000000
0.004540 0.000000 0.000000
0.004587 0.000000 0.000000
0.004635 0.000000 0.000000
0.004682 0.000000 0.000000
0.004729 0.000000 0.000000
0.004777 0.000000 0.000000
0.004824 0.000000 0.000000
0.004871 0.000000 0.000000
0.004918 0.000000 0.000000
0.004966 0.000000 0.000000
0.005013 0.000000 0.000000
0.005060 0.000000 0.000000
0.005108 0.000000 0.000000
0.005155 0.000000 0.000000
0.005202 0.000000 0.000000
0.005249 0.000000 0.000000
0.005297 0.000000 0.000000
0.005344 0.000000 0.000000
0.005391 0.000000 0.000000
0.005439 0.000000 0.000000
0.005486 0.000000 0.000000
0.005533 0.000000 0.000000
0.005581 0.000000 0.000000
0.005628 0.000000 0.000000
0.005675 0.000000 0.000000
0.005722 0.000000 0.000000
0.005770 0.000000 0.000000
0.005817 0.000000 0.000000
0.005864 0.000000 0.000000
0.005912 0.000000 0.000000
0.005959 0.000000 0.000000
0.006006 0.000000 0.000000
0.006053 0.000000 0.000000
0.006101 0.000000 0.000000
0.006148 0.000000 0.000000
0.006195 0.000000 0.000000
0.006243 0.000000 0.000000
0.006290 0.000000 0.000000
0.006337 0.000000 0.000000
0.006384 0.000000 0.000000
0.006432 0.000000 0.000000
0.006479 0.000000 0.000000
0.006526 0.000000 0.000000
0.006574 0.000000 0.000000
0.006621 0.000000 0.000000
0.006668 0.000000 0.000000
0.006716 0.000000 0.000000
0.006763 0.000000 0.000000
0.006810 0.000000 0.000000
0.006857 0.000000 0.000000
0.006905 0.000000 0.000000
0.006952 0.000000 0.000000
0.006999 0.000000 0.000000
0.007047 0.000000 0.000000
0.007094 0.000000 0.000000
0.007141 0.000000 0.000000
0.007188 0.000000 0.000000
0.007236 0.000000 0.000000
0.007283 0.000000 0.000000
0.007330 0.000000 0.000000
0.007378 0.000000 0.000000
0.007425 0.000000 0.000000
0.007472 0.000000 0.000000
0.007519 0.000000 0.000000
0.007567 0.000000 0.000000
0.007614 0.000000 0.000000
0.007661 0.000000 0.000000
0.007709 0.000000 0.000000
0.007756 0.000000 0.000000
0.007803 0.000000 0.000000
0.007851 0.000000 0.000000
0.007898 0.000000 0.000000
0.007945 0.000000 0.000000
0.007992 0.000000 0.000000
0.008040 0.000000 0.000000
0.008087 0.000000 0.000000
0.008134 0.000000 0.000000
0.008182 0.000000 0.000000
0.008229 0.000000 0.000000
0.008276 0.000000 0.000000
0.008323 0.000000 0.000000
0.008371 0.000000 0.000000
0.008418 0.000000 0.000000
0.008465 0.000000 0.000000
0.008513 0.000000 0.000000
0.008560 0.000000 0.000000
0.008607 0.000000 0.000000
0.008655 0.000000 0.000000
0.008702 0.000000 0.000000
0.008749 0.000000 0.000000
0.008796 0.000000 0.000000
0.008844 0.000000 0.000000
0.008891 0.000000 0.000000
0.008938 0.000000 0.000000
0.008986 0.000000 0.000000
0.009033 0.000000 0.000000
0.009080 0.000000 0.000000
0.009127 0.000000 0.000000
0.009175 0.000000 0.000000
0.009222 0.000000 0.000000
0.009269 0.000000 0.000000
0.009317 0.000000 0.000000
0.009364 0.000000 0.000000
0.009411 0.000000 0.000000
0.009458 0.000000 0.000000
0.009506 0.000000 0.000000
0.009553 0.000000 0.000000
0.009600 0.000000 0.000000
0.009648 0.000000 0.000000
0.009695 0.000000 0.000000
0.009742 0.000000 0.000000
0.009790 0.000000 0.000000
0.009837 0.000000 0.000000
0.009884 0.000000 0.000000
0.009931 0.000000 0.000000
0.009979 0.000000 0.000000
0.010026 0.000000 0.000000
0.010073 0.000000 0.000000
0.010121 0.000000 0.000000
0.010168 0.000000 0.000000
0.010215 0.000000 0.000000
0.010262 0.000000 0.000000
0.010310 0.000000 0.000000
0.010357 0.000000 0.000000
0.010404 0.000000 0.000000
0.010452 0.000000 0.000000
0.010499 0.000000 0.000000
0.010546 0.000000 0.000000
0.010594 0.000000 0.000000
0.010641 0.000000 0.000000
0.010688 0.000000 0.000000
0.010735 0.000000 0.000000
0.010783 0.000000 0.000000
0.010830 0.000000 0.000000
0.010877 0.000000 0.000000
0.010925 0.000000 0.000000
0.010972 0.000000 0.000000
0.011019 0.000000 0.000000
0.011066 0.000000 0.000000
0.011114 0.000000 0.000000
0.011161 0.000000 0.000000
0.011208 0.000000 0.000000
0.011256 0.000000 0.000000
0.011303 0.000000 0.000000
0.011350 0.000000 0.000000
0.011397 0.000000 0.000000
0.011445 0.000000 0.000000
0.011492 0.000000 0.000000
0.011539 0.000000 0.000000
0.011587 0.000000 0.000000
0.011634 0.000000 0.000000
0.011681 0.000000 0.000000
0.011729 0.000000 0.000000
0.011776 0.000000 0.000000
0.011823 0.000000 0.000000
0.011870 0.000000 0.000000
0.011918 0.000000 0.000000
0.011965 0.000000 0.000000
0.012012 0.000000 0.000000
0.012060 0.000000 0.000000
0.012107 0.000000 0.000000
0.012154 0.000000 0.000000
0.012201 0.000000 0.000000
0.012249 0.000000 0.000000
0.012296 0.000000 0.000000
0.012343 0.000000 0.000000
0.012391 0.000000 0.000000
0.012438 0.000000 0.000000
0.012485 0.000000 0.000000
0.012532 0.000000 0.000000
0.012580 0.000000 0.000000
0.012627 0.000000 0.000000
0.012674 0.000000 0.000000
0.012722 0.000000 0.000000
0.012769 0.000000 0.000000
0.012816 0.000000 0.000000
0.012864 0.000000 0.000000
0.012911 0.000000 0.000000
0.012958 0.000000 0.000000
0.013005 0.000000 0.000000
0.013053 0.000000 0.000000
0.013100 0.000000 0.000000
0.013147 0.000000 0.000000
0.013195 0.000000 0.000000
0.013242 0.000000 0.000000
0.013289 0.000000 0.000000
0.013336 0.000000 0.000000
0.013384 0.000000 0.000000
0.013431 0.000000 0.000000
0.013478 0.000000 0.000000
0.013526 0.000000 0.000000
0.013573 0.000000 0.000000
0.013620 0.000000 0.000000
0.013668 0.000000 0.000000
0.013715 0.000000 0.000000
0.013762 0.000000 0.000000
0.013809 0.000000 0.000000
0.013857 0.000000 0.000000
0.013904 0.000000 0.000000
0.013951 0.000000 0.000000
0.013999 0.000000 0.000000
0.014046 0.000000 0.000000
0.014093 0.000000 0.000000
0.014140 0.000000 0.000000
0.014188 0.000000 0.000000
0.014235 0.000000 0.000000
0.014282 0.000000 0.000000
0.014330 0.000000 0.000000
0.014377 0.000000 0.000000
0.014424 0.000000 0.000000
0.014471 0.000000 0.000000
0.014519 0.000000 0.000000
0.014566 0.000000 0.000000
0.014613 0.000000 0.000000
0.014661 0.000000 0.000000
0.014708 0.000000 0.000000
0.014755 0.000000 0.000000
0.014803 0.000000 0.000000
0.014850 0.000000 0.000000
0.014897 0.000000 0.000000
0.014944 0.000000 0.000000
0.014992 0.000000 0.000000
0.015039 0.000000 0.000000
